Asset,Optimal Weight
AAPL,0.051700103
AGG,0.0
AMZN,0.2
BAC,0.07299255
BND,0.0
BNDX,0.0
CORN,0.0
CSCO,0.0
DBA,0.0
DBC,0.0
DIA,0.0
DIS,0.0
EEM,0.0
EFA,0.0
EMB,0.0
GLD,0.0
GOOGL,0.0
HD,0.0
HYG,0.10543262
IEF,0.0
IWM,0.0
JNJ,0.0
JPM,0.0
KO,0.0
LQD,0.0
MA,0.0
META,0.2
MSFT,0.0
MUB,0.16987472
NVDA,0.0
PALL,0.0
PFE,0.0
PG,0.0
QQQ,0.0
SHY,0.0
SLV,0.0
SPY,0.0
TLT,0.0
TSLA,0.0
UNG,0.0
USO,0.0
V,0.0
VNQ,0.0
WEAT,0.2
WMT,0.0
XOM,0.0
