lambda,kappa,obj,return,risk,AAPL,AGG,AMZN,BAC,BND,BNDX,CORN,CSCO,DBA,DBC,DIA,DIS,EEM,EFA,EMB,GLD,GOOGL,HD,HYG,IEF,IWM,JNJ,JPM,KO,LQD,MA,META,MSFT,MUB,PALL,PFE,PG,QQQ,SLV,SPY,TLT,TSLA,UNG,USO,V,VNQ,WEAT,WMT,XOM
1.0,0.4,0.009089674999092332,0.01051194165492939,0.05333416645710431,0.09902899739078509,-7.256725964583919e-09,0.03781885727546283,0.003694178044330457,-7.189595741926625e-09,-8.471667060603923e-09,1.1527208788576747e-08,8.318513720621841e-07,0.08878601814222531,0.004765282874400323,1.4740777206875217e-06,1.1693652364833694e-09,6.692967783204682e-10,3.210851562390475e-09,-2.063248668144468e-09,0.02559836945089966,0.08181425835844601,0.035011012109901596,-2.11433968005252e-09,-5.849715072958169e-09,1.7196787107920607e-08,1.3406701927644822e-09,0.04864413023803668,4.4598623337474146e-09,-3.1542461111508545e-09,0.015843023134564302,0.05444031953420688,0.10431222655236438,-7.4166691556349586e-09,-7.235629064818087e-10,1.5278540048637284e-09,8.626458293127203e-08,0.08462173934398488,0.01164287284606707,0.04846997684116647,-2.3764994951720632e-09,0.05181733601833886,1.2058728034555263e-09,5.269581356524929e-08,0.008175240392197178,1.838065808750914e-09,9.148061434949951e-10,0.14492580839415325,0.05058790953132277
2.0,0.4,0.007827988632710638,0.01009595906422376,0.04762321315821859,0.08230902790030836,-1.763459227282781e-08,0.02967632124609202,0.0007086490149839752,-1.751600244505107e-08,-2.038841501879492e-08,6.560091485990324e-07,0.003143500199873273,0.12760497062782128,0.022723688668105806,0.002486716580065955,5.610235494980069e-10,-2.609660535121129e-10,5.086008813935315e-09,-6.203806338335845e-09,0.06444851374249877,0.0706378229767743,0.031164069018167498,-5.500583910937046e-09,-1.4370467912288073e-08,3.3139977218667875e-08,2.7661930725871085e-09,0.04370961897424442,1.164850313632318e-08,-8.513678281396322e-09,0.012347547557101168,0.04491881165248963,0.09188572619376141,-1.749845333590213e-08,-2.352332314912715e-09,2.53182377675065e-09,0.012228391089073799,0.07055384609655947,0.010571945479941927,0.04213946980714902,-6.4859156400520056e-09,0.041612656505783496,1.9643934822180917e-09,0.0008215671602593483,0.008387896018776219,1.617272181776062e-09,2.416778089166528e-09,0.13879427788212403,0.04712436414027398
3.0,0.4,0.006786157013565241,0.009673547730967859,0.04387399166858512,0.07182764169406597,-1.5861584133031414e-08,0.02459539336373788,2.9824167662773976e-07,-1.5817238783876412e-08,-1.907449061327515e-08,0.014723874451807385,0.004724818153091773,0.1482372217728481,0.03111755488793991,0.0024996297058614042,2.1602666646151533e-09,4.1551695567841144e-09,1.1810690494414196e-08,-3.913605263835243e-09,0.08736982155902542,0.06343629568934349,0.02826770821331645,2.481327486257808e-09,-1.2533381247088669e-08,3.818805886463636e-08,1.255653039406211e-08,0.04005683206497986,2.631461174611891e-08,-5.922562966818019e-09,0.008903251264531365,0.0390078665282454,0.08391005826951935,-1.303894753080988e-08,-1.1205431761314093e-09,8.469240477084783e-09,0.02194669516152388,0.06126772879187767,0.008487041749792736,0.036405844164608875,-5.412795412019698e-09,0.03547244857190944,4.492454295373394e-09,0.0016498673870106138,0.007059590796290749,5.121527682095097e-09,1.1731968840547302e-08,0.13455177423312753,0.04448070798367708
4.0,0.4,0.005881876758767752,0.009294908899203322,0.041309999639527764,0.0647794486431532,-6.429615482614771e-10,0.021028033688885308,5.317004833220754e-09,-6.526259721476603e-10,-8.083102466278295e-10,0.0270073349608101,0.005468020880324565,0.16309785509572264,0.03620843561205428,0.0013273110202334727,1.2400708346791823e-10,3.437966264018897e-10,7.991487386266568e-10,-1.354957866987593e-10,0.10456631462269945,0.058612444928813415,0.026202778563126063,6.151448237303303e-10,-4.914993053439694e-10,2.105218302951452e-09,1.1753451108596987e-09,0.037504893186824775,2.052560230650414e-09,-1.9194385369709553e-10,0.005810178293780009,0.03500454027928214,0.07872911289047774,-2.0697487704889165e-10,-1.9555673821080965e-11,6.914773294933503e-10,0.02820988599357808,0.05473461683814015,0.006149652842180224,0.03154487760363724,-2.457893647940611e-10,0.0313969307719676,3.169263025809073e-10,0.0018959138427806076,0.0054305056834728594,3.301128928766201e-10,1.2127792681327918e-09,0.13251782239330323,0.04277307885700241
5.0,0.4,0.005069138304287664,0.008949910633359058,0.0393993519188902,0.0595803559399228,-9.646581575251488e-09,0.018282159870066976,8.093459694070796e-08,-1.0418735489210331e-08,-1.270954390858374e-08,0.03641061790305527,0.005835678100457437,0.17512830426877088,0.039722033442386215,4.212396068499124e-05,1.655185415904476e-09,7.676014412873389e-09,1.7538256966488512e-08,-3.541910639930674e-09,0.11888040105837067,0.05509253819966685,0.02465245140826965,2.487456504642691e-08,-7.112047971693106e-09,4.303294283345734e-08,3.647052213250863e-08,0.03561102500233897,5.4606582783129195e-08,-3.3524611401346157e-09,0.0029874351539118504,0.03199817089539083,0.07506854060689046,1.3614437070322762e-08,-4.5742160649334827e-10,1.8763367845113837e-08,0.03270950477130764,0.049738522750177525,0.0036700068342632327,0.02725733969181866,-5.810120512759413e-09,0.028410072382831175,7.622994133754428e-09,0.0018875129048974695,0.0037585097087324986,6.142685220841133e-09,4.3399402440856634e-08,0.13165759336596347,0.04161879751031263
6.0,0.4,0.004323357120919906,0.008630467413930282,0.037890677362689876,0.055433764761321336,1.5938475030603935e-08,0.016041935819390053,7.728108977088631e-08,1.3189841871782094e-08,1.687503207302744e-08,0.04400179910512019,0.0059798415892457915,0.1851355399719624,0.042231599890831445,1.31719164457621e-06,3.0793756069638553e-09,1.422514495392378e-08,2.597610925408571e-08,1.7675344100981934e-09,0.13129137713649627,0.05230631595032817,0.023395875933175964,6.439754988748685e-08,1.3589992662114975e-08,5.277517227463073e-08,6.812230490837056e-08,0.034061841735600465,8.187877350179963e-08,6.3611102027733036e-09,0.0003545332056375683,0.029555929751335024,0.07223995926956898,1.0065710218162121e-07,2.185452436959247e-09,3.1646706775978104e-08,0.03607208765259446,0.04565263129419018,0.001089576943948215,0.02331074817503918,-1.808051162110025e-09,0.026041182379460365,1.1468250451352659e-08,0.001732458300579162,0.0020930910046864978,9.938517112415831e-09,9.183911710273663e-08,0.13125396105105328,0.04072192942656472
7.0,0.4,0.0036287757143441375,0.008343276132122573,0.0367015002331685,0.05180497485123697,2.529143131044063e-08,0.014161990226711779,3.0479431634278295e-08,2.155221452663701e-08,3.152364682181108e-08,0.050360230151286024,0.006027935791520841,0.19329728677813168,0.04385610924696639,3.8168375874609477e-07,9.164908178499459e-10,6.947881702880888e-09,1.2254823473288235e-08,1.009367581316652e-09,0.1418421322192227,0.04988295768856674,0.02226909089029302,5.302638503544429e-08,1.9532205582606643e-08,2.3889844945177167e-08,4.482293602099922e-08,0.032646797246907014,4.320364592346313e-08,5.476043437737001e-09,3.6403939305531707e-07,0.02741048534145118,0.06986030592416193,2.7666175795133305e-07,1.2307576665991552e-09,1.817487384606258e-08,0.038507705573535764,0.042103435972779546,3.247753604735112e-07,0.019532240530548427,-3.932827726604819e-10,0.024017807765906528,5.907665774604521e-09,0.0014221035705569017,0.0002839112555302693,4.14221272817811e-09,7.566850582987701e-08,0.13087298000644926,0.039837746842203106
8.0,0.4,0.0029821140595114185,0.00786813252647229,0.03495003028239342,0.047556461481246,4.101542878696263e-08,0.012391250525044273,1.8593937531464974e-08,3.468606001947604e-08,5.8282950636464465e-08,0.0533164987379686,0.005609144442269412,0.19245086328536112,0.043386689908253784,1.4897409940301805e-07,9.359111040828273e-10,5.775063742887796e-09,9.024155753743452e-09,2.466872630018824e-09,0.14353412702092183,0.04647127433233773,0.020170168385107073,5.707552449753921e-08,2.9775539920904544e-08,1.6014110493729873e-08,4.053158595881643e-08,0.030294814815026487,3.1245080675765035e-08,7.328487777964585e-09,9.400729068000523e-08,0.024917450177163125,0.06574599811479724,0.034220429449677556,1.6726619612693754e-09,1.4955772267753075e-08,0.03855540485095905,0.03790958788554473,6.97370611491483e-08,0.01568806533735495,1.5329187873502873e-09,0.021922523313243396,4.6602970761286e-09,0.0009038387993127449,5.146076154208347e-07,3.374585101823633e-09,8.671769985476183e-08,0.12683864580660753,0.03811546987800604
9.0,0.4,0.002404500342176928,0.007329550337355857,0.033082556649754374,0.04353867204506296,1.1162267512399173e-07,0.010791216197703757,2.5572196400134902e-08,9.014553547688996e-08,2.015395050535171e-07,0.054374956662843824,0.004911720623347756,0.18770217250405993,0.042036453600328504,1.801008405662257e-07,1.664595867079951e-09,9.35189862255344e-09,1.3680965059568246e-08,5.29993141030552e-09,0.1409873121067469,0.043007147539974235,0.01771545672479121,1.1700222757940886e-07,7.47135942983166e-08,2.3103954012689346e-08,7.634748329585541e-08,0.027750025517303968,4.7734784184524104e-08,1.4573984628376552e-08,1.0417768672505031e-07,0.022543834990096254,0.06125965204097377,0.08165593681474936,3.382410584556396e-09,2.5451571336923218e-08,0.037436819171812435,0.03375442650981779,7.1213610307757e-08,0.012028794844241209,4.087333949805966e-09,0.020069424998717104,7.8130809025024e-09,0.0003197041283530114,3.0917637271801595e-07,5.423100613345747e-09,2.615238252122819e-07,0.12179835283249564,0.036316134834482316
10.0,0.4,0.0018831128639652177,0.006857679676176942,0.03154224726366758,0.04022712865321675,1.2803750524286764e-07,0.009435163497387707,1.224595830305304e-08,8.898166495677108e-08,9.10964287803347e-07,0.05525339310192861,0.004216541896583985,0.18389599792255168,0.04069883442188654,8.123012993135206e-08,3.6929415229002296e-10,4.223817419564014e-09,6.351580129754699e-09,1.8738123339924563e-09,0.13902473482057284,0.0401505712012499,0.015562239903545551,8.709306794527985e-08,7.015865826383883e-08,1.1303084893739021e-08,5.0983267886316426e-08,0.02558515107989472,2.5033839319080702e-08,7.806830202697117e-09,4.428499226349929e-08,0.020572007611868146,0.05758064375908628,0.12117207667487652,1.5850503612614508e-09,1.4684508872917267e-08,0.036365482176133175,0.03019092095494339,2.802000152011786e-08,0.008651537017892173,1.6541288251420164e-09,0.018579184573482017,4.468308517665681e-09,3.882574337979303e-06,1.3763357919953582e-07,2.0900105926089804e-09,1.9379538946070187e-06,0.11792984714194531,0.034901001788190666
1.0,0.7,0.003841892698105904,0.004823178106486551,0.044300912143671406,0.05521587946068983,-2.1638609796787957e-09,0.02837081775192487,0.013690929233418402,-2.141980227231545e-09,-2.5621668621246466e-09,0.019311987572260263,0.019136613782721947,0.11000367216847681,0.036174417760415856,0.0374455411646735,8.136155990209519e-10,3.1614701527084994e-09,0.005146674961792424,-4.1439692387689515e-10,0.0692391101692446,0.05034314256148401,0.03274245362003055,5.2031608207501105e-09,-1.8727012385875776e-09,0.014985478580011697,1.5189382121283426e-08,0.03476355626304151,0.0067593573294004025,-7.74196666895904e-10,0.02338839871702469,0.029549515567869878,0.0679596620204699,-1.6300926581717358e-09,-3.603889025813874e-10,2.410457506981345e-09,0.035020203535844105,0.062171356167879416,0.016713603447216493,0.05708000007915654,-8.980073254186089e-10,0.023338360370585873,4.997635051001755e-10,0.004764476780744574,0.025794476998311566,1.496315275793787e-08,9.873549543269485e-10,0.09068077920724327,0.030209504224736426
